date,product,category,city,sales,units,customers
2024-05-12,Tablet Z,Electronics,Cali,2565,31,30
2024-05-15,Laptop X,Electronics,Bogotá,3597,34,27
2024-05-21,Laptop X,Electronics,Bogotá,4404,44,36
2024-05-21,Widget B,Office,Medellín,2996,32,30
2024-05-22,Widget B,Office,Bogotá,4013,31,30
2024-05-22,Phone Y,Electronics,Barranquilla,2412,19,15
2024-05-24,Chair A,Furniture,Barranquilla,2380,15,12
2024-05-27,Widget A,Office,Cali,3485,18,16
2024-05-27,Widget A,Office,Medellín,3782,32,31
2024-06-04,Widget B,Office,Cali,2529,18,12
2024-06-07,Tablet Z,Electronics,Cali,8873,69,51
2024-06-09,Phone Y,Electronics,Cali,2725,23,21
2024-06-09,Desk B,Furniture,Barranquilla,2828,30,21
2024-06-10,Chair A,Furniture,Cali,2958,17,12
2024-06-14,Chair A,Furniture,Bogotá,4651,26,20
2024-06-15,Widget B,Office,Bogotá,4369,50,36
2024-06-15,Phone Y,Electronics,Barranquilla,2541,14,10
2024-06-16,Phone Y,Electronics,Barranquilla,2794,16,15
2024-06-17,Laptop X,Electronics,Barranquilla,3036,16,15
2024-06-19,Laptop X,Electronics,Medellín,3035,19,14
2024-06-22,Widget B,Office,Bogotá,4369,40,36
2024-06-23,Laptop X,Electronics,Cali,3294,17,13
2024-06-26,Desk B,Furniture,Barranquilla,3028,37,30
2024-07-02,Widget B,Office,Cali,3260,22,21
2024-07-07,Widget B,Office,Cali,3375,21,17
2024-07-08,Desk B,Furniture,Medellín,2926,15,14
2024-07-12,Laptop X,Electronics,Cali,3380,22,20
2024-07-15,Widget A,Office,Medellín,3558,24,19
2024-07-18,Tablet Z,Electronics,Barranquilla,3260,18,16
2024-07-26,Widget A,Office,Medellín,4187,29,28
2024-07-30,Laptop X,Electronics,Medellín,3444,19,18
2024-07-31,Widget B,Office,Barranquilla,3096,24,23
2024-08-02,Desk B,Furniture,Medellín,3186,25,22
2024-08-03,Desk B,Furniture,Bogotá,4853,34,24
2024-08-07,Desk B,Furniture,Barranquilla,2852,20,18
2024-08-08,Laptop X,Electronics,Cali,3225,27,20
2024-08-13,Laptop X,Electronics,Cali,3577,39,29
2024-08-14,Desk B,Furniture,Barranquilla,3581,21,17
2024-08-14,Widget A,Office,Barranquilla,3578,20,14
2024-08-19,Laptop X,Electronics,Medellín,3284,30,22
2024-08-20,Widget A,Office,Cali,4036,24,21
2024-08-23,Tablet Z,Electronics,Cali,2934,18,14
2024-08-24,Desk B,Furniture,Bogotá,4684,39,32
2024-08-25,Desk B,Furniture,Barranquilla,3032,21,16
2024-08-27,Widget A,Office,Cali,3840,27,19
2024-08-30,Widget B,Office,Barranquilla,3133,23,19
2024-09-01,Laptop X,Electronics,Bogotá,4872,56,41
2024-09-04,Tablet Z,Electronics,Cali,3145,25,19
2024-09-06,Phone Y,Electronics,Medellín,3429,23,21
2024-09-06,Widget B,Office,Bogotá,4949,43,33
2024-09-07,Laptop X,Electronics,Barranquilla,3680,22,18
2024-09-08,Laptop X,Electronics,Bogotá,4606,45,32
2024-09-12,Chair A,Furniture,Barranquilla,3596,24,22
2024-09-13,Widget B,Office,Medellín,3475,19,16
2024-09-14,Phone Y,Electronics,Bogotá,4913,42,37
2024-09-16,Tablet Z,Electronics,Bogotá,4812,24,20
2024-09-17,Widget A,Office,Medellín,4369,33,32
2024-09-18,Widget A,Office,Bogotá,6094,49,48
2024-09-24,Widget A,Office,Cali,4351,32,30
2024-09-27,Tablet Z,Electronics,Bogotá,5231,30,27
2024-09-28,Tablet Z,Electronics,Barranquilla,3201,23,18
2024-10-01,Chair A,Furniture,Medellín,3237,16,13
2024-10-01,Tablet Z,Electronics,Bogotá,4427,22,17
2024-10-03,Widget B,Office,Medellín,3680,29,28
2024-10-03,Tablet Z,Electronics,Cali,3840,27,25
2024-10-06,Laptop X,Electronics,Barranquilla,3219,21,18
2024-10-08,Laptop X,Electronics,Bogotá,4186,45,41
2024-10-08,Laptop X,Electronics,Barranquilla,3096,17,16
2024-10-10,Phone Y,Electronics,Medellín,3788,21,18
2024-10-14,Tablet Z,Electronics,Medellín,3462,21,18
2024-10-15,Tablet Z,Electronics,Bogotá,5288,34,31
2024-10-16,Widget A,Office,Medellín,4667,30,23
2024-10-16,Widget B,Office,Bogotá,5389,28,26
2024-10-19,Tablet Z,Electronics,Cali,4001,25,19
2024-10-21,Chair A,Furniture,Barranquilla,11298,61,60
2024-10-21,Widget A,Office,Barranquilla,3665,22,19
2024-10-22,Phone Y,Electronics,Cali,3520,19,17
2024-10-23,Tablet Z,Electronics,Medellín,3759,37,27
2024-10-25,Phone Y,Electronics,Medellín,3243,39,36
2024-10-27,Laptop X,Electronics,Cali,3158,22,18
2024-10-27,Desk B,Furniture,Cali,3892,20,16
2024-10-28,Chair A,Furniture,Bogotá,4664,38,28
2024-10-30,Desk B,Furniture,Bogotá,5439,53,41
2024-10-30,Tablet Z,Electronics,Cali,3065,16,12
2024-10-31,Laptop X,Electronics,Bogotá,4933,25,19
2024-11-01,Desk B,Furniture,Cali,3211,19,18
2024-11-02,Laptop X,Electronics,Bogotá,5519,32,25
2024-11-06,Widget A,Office,Bogotá,5784,38,37
2024-11-09,Widget B,Office,Bogotá,5771,62,59
2024-11-13,Widget A,Office,Medellín,3936,22,16
2024-11-13,Laptop X,Electronics,Bogotá,4667,29,21
2024-11-14,Desk B,Furniture,Bogotá,5406,64,50
2024-11-16,Desk B,Furniture,Medellín,3811,20,18
2024-11-18,Desk B,Furniture,Medellín,3540,36,32
2024-11-18,Desk B,Furniture,Medellín,3117,24,18
2024-11-20,Laptop X,Electronics,Bogotá,4987,41,33
2024-11-23,Laptop X,Electronics,Bogotá,4557,49,45
2024-11-26,Tablet Z,Electronics,Bogotá,4530,24,20
2024-11-26,Widget B,Office,Medellín,3318,21,19
2024-11-28,Widget A,Office,Barranquilla,4786,59,55
2024-11-29,Widget B,Office,Medellín,3555,19,15
2024-12-01,Laptop X,Electronics,Medellín,3758,25,21
2024-12-05,Widget A,Office,Cali,4197,35,32
2024-12-05,Phone Y,Electronics,Bogotá,6100,34,25
2024-12-08,Chair A,Furniture,Medellín,4235,28,21
2024-12-08,Widget B,Office,Cali,3278,39,38
2024-12-09,Phone Y,Electronics,Cali,4279,27,24
2024-12-09,Laptop X,Electronics,Medellín,3558,18,16
2024-12-10,Tablet Z,Electronics,Barranquilla,3353,31,21
2024-12-11,Phone Y,Electronics,Barranquilla,4068,25,19
2024-12-11,Chair A,Furniture,Cali,3531,37,29
2024-12-14,Widget B,Office,Medellín,3966,33,27
2024-12-14,Desk B,Furniture,Cali,3402,38,31
2024-12-17,Widget A,Office,Cali,5118,59,52
2024-12-18,Desk B,Furniture,Medellín,4114,38,26
2024-12-19,Tablet Z,Electronics,Barranquilla,3668,26,20
2024-12-23,Chair A,Furniture,Cali,4100,44,35
2024-12-27,Chair A,Furniture,Bogotá,5624,57,40
2024-12-27,Widget B,Office,Barranquilla,4165,21,17
2024-12-28,Desk B,Furniture,Medellín,3860,23,16
